"id","stargazers_count","forks_count","watchers_count","open_issues_count","size","language","has_wiki","popular"
169529567,25431,2616,25431,40,890944,"JavaScript",1,0
7874074,25243,2281,25243,415,32239,"JavaScript",0,0
888887358,25241,92,25241,0,2275,"JavaScript",1,0
1580851,25119,3284,25119,164,30495,"JavaScript",1,0
1112540808,24967,2270,24967,121,10283,"JavaScript",1,0
198674674,24921,1599,24921,515,204777,"JavaScript",1,0
1213225,24890,3727,24890,229,15446,"JavaScript",1,0
6720403,24862,3101,24862,780,68451,"JavaScript",0,0
25315643,24775,1357,24775,1003,87026,"JavaScript",0,0
195226340,24593,2100,24593,70,10417,"JavaScript",1,0
1206546,24422,1847,24422,520,4365,"JavaScript",0,0
65233633,24395,1065,24395,0,41320,"JavaScript",0,0
5905330,24372,1957,24372,10,14101,"JavaScript",1,0
3602123,24355,2586,24355,317,10186,"JavaScript",1,0
10851820,24090,1433,24090,146,8513,"JavaScript",1,0
35133520,23835,1890,23835,89,5421,"JavaScript",1,0
965782,23755,2436,23755,373,5600,"JavaScript",1,0
9603240,23752,2421,23752,28,8552,"JavaScript",0,0
8424040,23584,3746,23584,507,145109,"JavaScript",1,0
688164459,23582,2830,23582,13,1982584,"JavaScript",1,0
24063576,23545,1805,23545,384,9007,"JavaScript",0,0
2540368,23529,1251,23529,396,847,"JavaScript",1,0
16989371,23450,4531,23450,12,26529,"JavaScript",1,0
242754476,23442,1317,23442,3,2627,"JavaScript",1,0
784788673,23396,2347,23396,133,205165,"JavaScript",1,0
58623321,23244,3358,23244,449,1672,"JavaScript",1,0
19620844,23186,1787,23186,32,82917,"JavaScript",0,0
82040650,23155,1597,23155,138,1095,"JavaScript",1,0
11855195,23131,957,23131,5,1067,"JavaScript",1,0
410808715,23115,1311,23115,44,71335,"JavaScript",0,0
12618379,23005,3830,23005,507,68858,"JavaScript",1,0
1451352,22882,3068,22882,231,30878,"JavaScript",1,0
8986773,22876,2811,22876,728,37527,"JavaScript",0,0
3757512,22825,1926,22825,590,13210,"JavaScript",0,0
128237146,22791,4657,22791,606,14613,"JavaScript",1,0
159981830,22773,858,22773,20,7276,"JavaScript",0,0
2744972,22725,2516,22725,5,16890,"JavaScript",0,0
52113921,22718,2606,22718,954,36831,"JavaScript",1,0
32531480,22672,2055,22672,3,1298,"JavaScript",1,0
73681508,22621,3028,22621,382,9107,"JavaScript",1,0
317319347,22574,2149,22574,36,62763,"JavaScript",1,0
